"BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","STATE","STATE_FIPS","YEAR","MONTH_NAME","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","WFO","BEGIN_DATE_TIME","CZ_TIMEZONE","END_DATE_TIME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","SOURCE","MAGNITUDE","MAGNITUDE_TYPE","FLOOD_CAUSE","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","BEGIN_RANGE","BEGIN_LOCATION","END_RANGE","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","DURATION","INJURE_DEATH","Total_damage"
201703,1,3,201703,1,9,"INDIANA",18,2017,"March","Tornado","C",37,"DUBOIS","LMK","01-MAR-17 00:03:00","EST-5","01-MAR-17 00:09:00",0,0,0,0,350000,0,"NWS Storm Survey",NA,"","","EF2",5.8,150,4,"IRELAND",2,"IRELAND",38.404,-87.071,38.421,-86.968,6,0,350
201703,1,30,201703,1,31,"MISSOURI",29,2017,"March","Tornado","C",59,"DALLAS","SGF","01-MAR-17 00:30:00","CST-6","01-MAR-17 00:31:00",0,0,0,0,25000,0,"NWS Storm Survey",NA,"","","EF0",1,100,2,"BUFFALO ARPT",1,"BUFFALO ARPT",37.6839,-93.1067,37.684,-93.0879,1,0,25
201703,1,35,201703,1,37,"KENTUCKY",21,2017,"March","Tornado","C",31,"BUTLER","LMK","01-MAR-17 00:35:00","CST-6","01-MAR-17 00:37:00",0,0,0,0,50000,0,"NWS Storm Survey",NA,"","","EF1",0.78,90,0,"PLEASANT HILL",1,"PLEASANT HILL",37.184,-86.88,37.192,-86.87,2,0,50
201703,1,129,201703,1,130,"ARKANSAS",5,2017,"March","Tornado","C",71,"JOHNSON","LZK","01-MAR-17 01:29:00","CST-6","01-MAR-17 01:30:00",0,0,0,0,20000,0,"NWS Storm Survey",NA,"","","EF1",0.14,200,1,"LAMAR",1,"LAMAR",35.4203,-93.3852,35.4193,-93.383,1,0,20
201703,1,216,201703,1,217,"ARKANSAS",5,2017,"March","Tornado","C",29,"CONWAY","LZK","01-MAR-17 02:16:00","CST-6","01-MAR-17 02:17:00",0,0,0,0,30000,0,"NWS Storm Survey",NA,"","","EF1",1,250,3,"RHONDO",4,"RHONDO",35.4372,-92.6235,35.4458,-92.6097,1,0,30
201703,1,218,201703,1,219,"ARKANSAS",5,2017,"March","Tornado","C",29,"CONWAY","LZK","01-MAR-17 02:18:00","CST-6","01-MAR-17 02:19:00",0,0,0,0,40000,0,"NWS Storm Survey",NA,"","","EF0",1.1,50,2,"AUSTIN",1,"AUSTIN",35.4439,-92.5602,35.4429,-92.5414,1,0,40
201703,1,231,201703,1,239,"OHIO",39,2017,"March","Tornado","C",71,"HIGHLAND","ILN","01-MAR-17 02:31:00","EST-5","01-MAR-17 02:39:00",0,0,0,0,30000,0,"NWS Storm Survey",NA,"","","EF0",6.87,250,1,"SAMANTHA",1,"CENTERFIELD",39.2991,-83.5968,39.3209,-83.4714,8,0,30
201703,1,233,201703,1,238,"ARKANSAS",5,2017,"March","Tornado","C",23,"CLEBURNE","LZK","01-MAR-17 02:33:00","CST-6","01-MAR-17 02:38:00",0,0,0,0,20000,0,"NWS Storm Survey",NA,"","","EF1",3.9,250,1,"CROSSROADS",3,"PEARSON",35.4617,-92.2345,35.4579,-92.1667,5,0,20
201703,1,240,201703,1,245,"OHIO",39,2017,"March","Tornado","C",71,"HIGHLAND","ILN","01-MAR-17 02:40:00","EST-5","01-MAR-17 02:45:00",0,0,0,0,10000,0,"NWS Storm Survey",NA,"","","EF0",4.53,100,1,"NEW PETERSBURG",4,"NEW PETERSBURG",39.2754,-83.4669,39.2926,-83.3852,5,0,10
201703,1,313,201703,1,317,"ARKANSAS",5,2017,"March","Tornado","C",67,"JACKSON","LZK","01-MAR-17 03:13:00","CST-6","01-MAR-17 03:17:00",0,0,0,0,30000,0,"NWS Storm Survey",NA,"","","EF1",4.24,200,3,"GRAND GLAISE",1,"OLD GRAND GLAISE",35.4538,-91.4619,35.4617,-91.3872,4,0,30
