"YEAR","Frequency","Mean_damage","Total_damage"
2000,388,1.07747809278351,418.0615
2001,553,1.12369349005425,621.4025
2002,390,2.02487102564103,789.6997
2003,586,2.1728221331058,1273.27377
2004,701,0.763916476462197,535.50545
2005,512,0.968026171875,495.6294
2006,541,1.30338447319778,705.131
2007,606,2.23577417491749,1354.87915
2008,1120,1.663582,1863.21184
2009,708,0.823290042372881,582.88935
2010,701,1.65745442225392,1161.87555
2011,1319,3.34537937831691,4412.5554
2012,523,3.15373231357553,1649.402
2013,577,2.85667114384749,1648.29925
2014,510,1.24669117647059,635.8125
2015,564,0.568191666666667,320.4601
2016,445,0.411874831460674,183.2843
2017,908,0.715961123348018,650.0927
