"BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","STATE","STATE_FIPS","YEAR","MONTH_NAME","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","WFO","BEGIN_DATE_TIME","CZ_TIMEZONE","END_DATE_TIME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","SOURCE","MAGNITUDE","MAGNITUDE_TYPE","FLOOD_CAUSE","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","BEGIN_RANGE","BEGIN_LOCATION","END_RANGE","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","DURATION","INJURE_DEATH"
201701,1,400,201701,4,1000,"OREGON",41,2017,"January","Winter Weather","Z",24,"EASTERN CURRY COUNTY & JOSEPHINE COUNTY","MFR","01-JAN-17 04:00:00","PST-8","04-JAN-17 10:00:00",0,0,0,1,"0.00K","0.00K","Official NWS Observations",NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,4680,1
201701,1,1800,201701,11,0,"OREGON",41,2017,"January","Cold/Wind Chill","Z",6,"GREATER  PORTLAND METRO AREA","PQR","01-JAN-17 18:00:00","PST-8","11-JAN-17 00:00:00",0,0,4,0,"0.00K","0.00K","Broadcast Media",NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,13320,4
201703,1,538,201703,1,539,"INDIANA",18,2017,"March","Tornado","C",117,"ORANGE","LMK","01-MAR-17 05:38:00","EST-5","01-MAR-17 05:39:00",1,0,0,0,"75.00K","0.00K","NWS Storm Survey",NA,"","","EF1",0.1,25,3,"LEIPSIC",3,"LEIPSIC",38.6884,-86.33,38.688,-86.3282,1,1
201703,1,559,201703,1,606,"INDIANA",18,2017,"March","Thunderstorm Wind","C",143,"SCOTT","LMK","01-MAR-17 05:59:00","EST-5","01-MAR-17 06:06:00",3,0,0,0,"200.00K","0.00K","NWS Storm Survey",78,"EG","","",NA,NA,2,"AUSTIN",3,"NEW FRANKFORT",38.7699,-85.8173,38.7704,-85.6813,7,3
201703,1,604,201703,1,615,"INDIANA",18,2017,"March","Thunderstorm Wind","C",143,"SCOTT","LMK","01-MAR-17 06:04:00","EST-5","01-MAR-17 06:15:00",8,0,0,0,"200.00K","0.00K","NWS Storm Survey",70,"EG","","",NA,NA,2,"VIENNA",0,"NABB",38.6253,-85.7904,38.6052,-85.63,11,8
201703,1,605,201703,1,607,"INDIANA",18,2017,"March","Tornado","C",143,"SCOTT","LMK","01-MAR-17 06:05:00","EST-5","01-MAR-17 06:07:00",10,0,0,0,"250.00K","0.00K","NWS Storm Survey",NA,"","","EF1",2.15,125,2,"VIENNA",2,"VIENNA",38.627,-85.784,38.621,-85.745,2,10
201703,1,628,201703,1,636,"TENNESSEE",47,2017,"March","Thunderstorm Wind","C",125,"MONTGOMERY","OHX","01-MAR-17 06:28:00","CST-6","01-MAR-17 06:36:00",2,0,0,0,"40.00K","0.00K","Emergency Manager",65,"EG","","",NA,NA,1,"BEL AIR ESTATES",1,"ST BETHLEHEM",36.5523,-87.4236,36.5675,-87.2912,8,2
201703,1,716,201703,1,721,"TENNESSEE",47,2017,"March","Thunderstorm Wind","C",149,"RUTHERFORD","OHX","01-MAR-17 07:16:00","CST-6","01-MAR-17 07:21:00",1,0,0,0,"30.00K","0.00K","NWS Storm Survey",70,"EG","","",NA,NA,1,"SANDHILL",2,"J PERCY PRIEST RES S",36.0387,-86.5608,36.0576,-86.5348,5,1
201705,1,100,201705,31,2300,"IDAHO",16,2017,"May","Flood","C",13,"BLAINE","PIH","01-MAY-17 01:00:00","MST-7","31-MAY-17 23:00:00",0,0,0,1,"10.00M","0.00K","River/Stream Gage",NA,"","Heavy Rain / Snow Melt","",NA,NA,10,"SUN VLY",20,"BELLEVUE",43.8023,-114.4917,43.47,-114.6689,44520,1
201705,1,0,201705,20,900,"ILLINOIS",17,2017,"May","Flood","C",165,"SALINE","PAH","01-MAY-17 00:00:00","CST-6","20-MAY-17 09:00:00",0,0,1,0,"30.00K","0.00K","Broadcast Media",NA,"","Heavy Rain","",NA,NA,2,"PANKEYVILLE",2,"PANKEYVILLE",37.7064,-88.4859,37.71,-88.5045,27900,1
