"BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","STATE","STATE_FIPS","YEAR","MONTH_NAME","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","WFO","BEGIN_DATE_TIME","CZ_TIMEZONE","END_DATE_TIME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","SOURCE","MAGNITUDE","MAGNITUDE_TYPE","FLOOD_CAUSE","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","BEGIN_RANGE","BEGIN_LOCATION","END_RANGE","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","DURATION","INJURE_DEATH"
201701,1,350,201701,1,352,"FLORIDA",12,2017,"January","Thunderstorm Wind","C",33,"ESCAMBIA","MOB","01-JAN-17 03:50:00","CST-6","01-JAN-17 03:52:00",0,0,0,0,"10.00K","0.00K","Emergency Manager",52,"EG","","",NA,NA,0,"ENSLEY",0,"ENSLEY",30.52,-87.27,30.52,-87.27,2,0
201701,1,1715,201701,1,1915,"WASHINGTON",53,2017,"January","High Wind","Z",1,"SAN JUAN","SEW","01-JAN-17 17:15:00","PST-8","01-JAN-17 19:15:00",0,0,0,0,"0.00K","0.00K","Mesonet",35,"MS","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,120,0
201701,1,1740,201701,1,1741,"NEW MEXICO",35,2017,"January","Thunderstorm Wind","C",15,"EDDY","MAF","01-JAN-17 17:40:00","MST-7","01-JAN-17 17:41:00",0,0,0,0,"0.30K","","Public",52,"EG","","",NA,NA,3,"CARLSBAD",3,"CARLSBAD",32.3841,-104.2149,32.3841,-104.2149,1,0
201701,1,1818,201701,1,1819,"NEW MEXICO",35,2017,"January","Thunderstorm Wind","C",25,"LEA","MAF","01-JAN-17 18:18:00","MST-7","01-JAN-17 18:19:00",0,0,0,0,"5.00K","","Public",56,"EG","","",NA,NA,8,"HOBBS",8,"HOBBS",32.7,-103.2676,32.7,-103.2676,1,0
201701,1,1950,201701,1,1955,"TEXAS",48,2017,"January","Thunderstorm Wind","C",501,"YOAKUM","LUB","01-JAN-17 19:50:00","CST-6","01-JAN-17 19:55:00",0,0,0,0,"0.00K","0.00K","Mesonet",56,"MG","","",NA,NA,1,"ALLRED",1,"ALLRED",32.99,-102.94,32.99,-102.94,5,0
201701,1,2130,201701,1,2131,"TEXAS",48,2017,"January","Thunderstorm Wind","C",371,"PECOS","MAF","01-JAN-17 21:30:00","CST-6","01-JAN-17 21:31:00",0,0,0,0,"5.00K","","Emergency Manager",70,"EG","","",NA,NA,8,"BAKERSFIELD",8,"BAKERSFIELD",30.9619,-102.1846,30.9619,-102.1846,1,0
201701,1,2142,201701,1,2342,"CALIFORNIA",6,2017,"January","High Wind","Z",520,"OWENS VALLEY","VEF","01-JAN-17 21:42:00","PST-8","01-JAN-17 23:42:00",0,0,0,0,"0.00K","0.00K","Mesonet",56,"MG","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,120,0
201702,1,1108,201702,2,808,"WASHINGTON",53,2017,"February","High Wind","Z",555,"EAST PUGET SOUND LOWLANDS","SEW","01-FEB-17 11:08:00","PST-8","02-FEB-17 08:08:00",0,0,0,0,"500.00K","0.00K","RAWS",61,"MG","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1260,0
201702,1,2313,201702,1,2358,"CALIFORNIA",6,2017,"February","Strong Wind","Z",89,"W CENTRAL S.J. VALLEY","HNX","01-FEB-17 23:13:00","PST-8","01-FEB-17 23:58:00",0,0,0,0,"1.00K","0.00K","COOP Observer",30,"MG","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,45,0
201703,1,0,201703,1,1,"OHIO",39,2017,"March","Thunderstorm Wind","C",3,"ALLEN","IWX","01-MAR-17 00:00:00","EST-5","01-MAR-17 00:01:00",0,0,0,0,"0.00K","0.00K","Broadcast Media",55,"EG","","",NA,NA,1,"SPENCERVILLE",1,"SPENCERVILLE",40.71,-84.35,40.71,-84.35,1,0
201703,1,0,201703,1,1,"OHIO",39,2017,"March","Thunderstorm Wind","C",3,"ALLEN","IWX","01-MAR-17 00:00:00","EST-5","01-MAR-17 00:01:00",0,0,0,0,"0.00K","0.00K","Broadcast Media",55,"EG","","",NA,NA,1,"LIMA",1,"LIMA",40.74,-84.11,40.74,-84.11,1,0
201703,1,0,201703,1,2300,"OHIO",39,2017,"March","Strong Wind","Z",34,"MERCER","ILN","01-MAR-17 00:00:00","EST-5","01-MAR-17 23:00:00",0,0,0,0,"1.00K","","Emergency Manager",48,"EG","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,1380,0
201703,1,0,201703,1,1,"INDIANA",18,2017,"March","Thunderstorm Wind","C",91,"LA PORTE","IWX","01-MAR-17 00:00:00","CST-6","01-MAR-17 00:01:00",0,0,0,0,"0.00K","0.00K","Trained Spotter",54,"MG","","",NA,NA,1,"LA PORTE ARPT",1,"LA PORTE ARPT",41.59,-86.74,41.59,-86.74,1,0
201703,1,24,201703,1,26,"INDIANA",18,2017,"March","Hail","C",81,"JOHNSON","IND","01-MAR-17 00:24:00","EST-5","01-MAR-17 00:26:00",0,0,0,0,"","0.00K","Trained Spotter",1,"","","",NA,NA,1,"FRANKLIN",1,"FRANKLIN",39.49,-86.06,39.49,-86.06,2,0
201703,1,41,201703,1,45,"KENTUCKY",21,2017,"March","Thunderstorm Wind","C",59,"DAVIESS","PAH","01-MAR-17 00:41:00","CST-6","01-MAR-17 00:45:00",0,0,0,0,"35.00K","0.00K","Emergency Manager",61,"EG","","",NA,NA,0,"(OWB)OWENSBORO ARPT",0,"OWENSBORO",37.75,-87.17,37.77,-87.12,4,0
201703,1,45,201703,1,50,"ILLINOIS",17,2017,"March","Hail","C",139,"MOULTRIE","ILX","01-MAR-17 00:45:00","CST-6","01-MAR-17 00:50:00",0,0,0,0,"0.00K","0.00K","Trained Spotter",0.75,"","","",NA,NA,0,"SULLIVAN",0,"SULLIVAN",39.6,-88.62,39.6,-88.62,5,0
201703,1,45,201703,1,50,"ILLINOIS",17,2017,"March","Thunderstorm Wind","C",183,"VERMILION","ILX","01-MAR-17 00:45:00","CST-6","01-MAR-17 00:50:00",0,0,0,0,"80.00K","0.00K","Emergency Manager",52,"EG","","",NA,NA,0,"DANVILLE",0,"DANVILLE",40.13,-87.62,40.13,-87.62,5,0
201703,1,45,201703,1,50,"OKLAHOMA",40,2017,"March","Thunderstorm Wind","C",77,"LATIMER","TSA","01-MAR-17 00:45:00","CST-6","01-MAR-17 00:50:00",0,0,0,0,"0.00K","0.00K","Mesonet",50,"MG","","",NA,NA,2,"DEGNAN",2,"DEGNAN",34.9009,-95.3481,34.9009,-95.3481,5,0
201703,1,45,201703,1,46,"MICHIGAN",26,2017,"March","Hail","C",21,"BERRIEN","IWX","01-MAR-17 00:45:00","EST-5","01-MAR-17 00:46:00",0,0,0,0,"0.00K","0.00K","Storm Chaser",1,"","","",NA,NA,1,"NEW BUFFALO",1,"NEW BUFFALO",41.8,-86.74,41.8,-86.74,1,0
