"YEAR","EVENT_TYPE","mean","dlevel"
2000,"Winter Weather",4.12041884816754,"d1"
2000,"Winter Storm",35.7962756052142,"d2"
2000,"Blizzard",51.9782608695652,"d2"
2000,"Strong Wind",62.3333333333333,"d1"
2000,"High Wind",77.2220158102767,"d2"
2000,"Thunderstorm Wind",84.2696393442623,"d2"
2000,"Heavy Snow",110.192307692308,"d2"
2000,"Lightning",123.1942,"d1"
2000,"Hurricane (Typhoon)",197.53125,"d5"
2000,"Flash Flood",785.608861940299,"d3"
2000,"Tornado",1077.47809278351,"d3"
2000,"Hail",1117.52585454545,"d3"
2000,"Ice Storm",3594.88292775665,"d3"
2000,"Flood",4947.57073170732,"d3"
2000,"Wildfire",8200.19189189189,"d4"
2001,"Winter Weather",5.13636363636364,"d1"
2001,"Strong Wind",11.2758620689655,"d1"
2001,"High Wind",83.7938284839204,"d2"
2001,"Lightning",84.2941176470588,"d1"
2001,"Winter Storm",123.217391304348,"d2"
2001,"Thunderstorm Wind",143.691865844256,"d2"
2001,"Ice Storm",167.2,"d3"
2001,"Heavy Snow",355.106194690266,"d2"
2001,"Blizzard",387.857142857143,"d2"
2001,"Flood",738.872340425532,"d3"
2001,"Flash Flood",809.912723449001,"d3"
2001,"Tornado",1123.69349005425,"d3"
2001,"Wildfire",1254.8,"d4"
2001,"Hail",3130.27037037037,"d3"
2001,"Tropical Storm",3397.06666666667,"d4"
2002,"Strong Wind",3.63636363636364,"d1"
2002,"Winter Weather",4.33333333333333,"d1"
2002,"Heavy Snow",60.5245283018868,"d2"
2002,"Lightning",92.95,"d1"
2002,"Thunderstorm Wind",125.405248,"d2"
2002,"Winter Storm",135.577591973244,"d2"
2002,"High Wind",153.089438943894,"d2"
2002,"Flash Flood",400.633689839572,"d3"
2002,"Hail",639.628205882353,"d3"
2002,"Flood",1035.88628571429,"d3"
2002,"Tornado",2024.87102564103,"d3"
2002,"Tropical Storm",2445.54430379747,"d4"
2002,"Wildfire",2778.45205479452,"d4"
2002,"Ice Storm",4080.27647058824,"d3"
2002,"Hurricane (Typhoon)",17758.8598245614,"d5"
2003,"Winter Weather",8.04545454545454,"d1"
2003,"Marine Thunderstorm Wind",9.54545454545454,"d1"
2003,"Strong Wind",11.9316690442225,"d1"
2003,"Cold/Wind Chill",20.4761904761905,"d1"
2003,"Lightning",51.6351351351351,"d1"
2003,"Heavy Rain",107.885321100917,"d2"
2003,"Thunderstorm Wind",206.503079076277,"d2"
2003,"Heavy Snow",216.01387755102,"d2"
2003,"High Wind",282.346820809249,"d2"
2003,"Winter Storm",344.637583892617,"d2"
2003,"Hail",673.707016317016,"d3"
2003,"Flash Flood",853.406881077038,"d3"
2003,"Flood",900.209676870748,"d3"
2003,"Storm Surge/Tide",1375.37777777778,"d5"
2003,"Ice Storm",2006.75833333333,"d3"
2003,"Tornado",2172.8221331058,"d3"
2003,"Tropical Storm",9406.71111111111,"d4"
2003,"Drought",12650,"d5"
2003,"Hurricane (Typhoon)",19935.162745098,"d5"
2003,"Wildfire",21210.3682258065,"d4"
2004,"Marine Thunderstorm Wind",6.11111111111111,"d1"
2004,"Cold/Wind Chill",12.037037037037,"d1"
2004,"Winter Weather",29.4852941176471,"d1"
2004,"Thunderstorm Wind",61.5691132637854,"d2"
2004,"Lightning",75.3,"d1"
2004,"Heavy Snow",83.8013605442177,"d2"
2004,"Heavy Rain",102.296296296296,"d2"
2004,"Strong Wind",161.098914081146,"d1"
2004,"Hail",331.451088825215,"d3"
2004,"Winter Storm",497.472727272727,"d2"
2004,"Wildfire",651.257692307692,"d4"
2004,"Flash Flood",667.948653846154,"d3"
2004,"Tornado",763.916476462197,"d3"
2004,"Ice Storm",783.338983050847,"d3"
2004,"Storm Surge/Tide",994.021739130435,"d5"
2004,"Debris Flow",1383.5,"d3"
2004,"Flood",1806.89349206349,"d3"
2004,"Tropical Storm",3595.20863309353,"d4"
2004,"High Wind",4664.64909694555,"d2"
2004,"Hurricane (Typhoon)",21774.1448275862,"d5"
2005,"Winter Weather",12.6216216216216,"d1"
2005,"Strong Wind",22.6220228384992,"d1"
2005,"Heavy Snow",65.3698630136986,"d2"
2005,"High Wind",104.344112769486,"d2"
2005,"Lightning",130.276363636364,"d1"
2005,"Blizzard",135.361111111111,"d2"
2005,"Thunderstorm Wind",232.056540084388,"d2"
2005,"Winter Storm",305.211699164345,"d2"
2005,"Flash Flood",324.112959183673,"d3"
2005,"Ice Storm",640.686403508772,"d3"
2005,"Hail",890.313598409543,"d3"
2005,"Wildfire",924.261363636364,"d4"
2005,"Tornado",968.026171875,"d3"
2005,"Flood",1326.63438073394,"d3"
2005,"Tropical Storm",1619.20903954802,"d4"
2005,"Debris Flow",3343.78846153846,"d3"
2005,"Heavy Rain",4046.40151515152,"d2"
2005,"Storm Surge/Tide",9853.62469135803,"d5"
2005,"Drought",11807.3793103448,"d5"
2005,"Hurricane (Typhoon)",48766.2156133829,"d5"
2006,"Winter Weather",9.44064748201439,"d1"
2006,"Strong Wind",13.5118334892423,"d1"
2006,"Storm Surge/Tide",32.0454545454545,"d5"
2006,"Lightning",102.225974025974,"d1"
2006,"Heavy Snow",156.958737864078,"d2"
2006,"Thunderstorm Wind",163.725812757202,"d2"
2006,"High Wind",197.791239048811,"d2"
2006,"Tropical Storm",769.683870967742,"d4"
2006,"Ice Storm",779.307692307692,"d3"
2006,"Coastal Flood",947.392857142857,"d4"
2006,"Heavy Rain",1170.86666666667,"d2"
2006,"Tornado",1303.38447319778,"d3"
2006,"Winter Storm",1519.32475570033,"d2"
2006,"Hail",1673.48036231884,"d3"
2006,"Flash Flood",2458.9864960182,"d3"
2006,"Wildfire",2684.40909090909,"d4"
2006,"Flood",2777.20355555556,"d3"
2006,"Drought",3056.22641509434,"d5"
2006,"Lake-Effect Snow",4352.72222222222,"d2"
2007,"Strong Wind",16.1077922077922,"d1"
2007,"Winter Weather",17.6059479553903,"d1"
2007,"Cold/Wind Chill",19.25,"d1"
2007,"Heavy Snow",35.9962962962963,"d2"
2007,"Thunderstorm Wind",76.7487023743788,"d2"
2007,"Blizzard",78.7446808510638,"d2"
2007,"Drought",79.6511627906977,"d5"
2007,"Lake-Effect Snow",81.4056603773585,"d2"
2007,"Winter Storm",162.67864476386,"d2"
2007,"Lightning",198.053846153846,"d1"
2007,"High Wind",559.34222737819,"d2"
2007,"Coastal Flood",1026.04666666667,"d4"
2007,"Flash Flood",1059.72358803987,"d3"
2007,"Hail",1205.76299303944,"d3"
2007,"Heavy Rain",1527.94230769231,"d2"
2007,"Flood",1529.23174366617,"d3"
2007,"Tornado",2235.77417491749,"d3"
2007,"Ice Storm",3150.25342465753,"d3"
2007,"Wildfire",25226.8517857143,"d4"
2008,"Strong Wind",19.6011513157895,"d1"
2008,"Winter Weather",35.8360153256705,"d1"
2008,"Heavy Rain",59.27,"d2"
2008,"Lake-Effect Snow",65.2268041237113,"d2"
2008,"Heavy Snow",128.683486238532,"d2"
2008,"Thunderstorm Wind",136.599610481586,"d2"
2008,"Lightning",153.35,"d1"
2008,"Blizzard",162.351351351351,"d2"
2008,"Hail",313.920700152207,"d3"
2008,"Tropical Depression",394.103448275862,"d2"
2008,"Ice Storm",749.209064748201,"d3"
2008,"Flash Flood",1327.65886336155,"d3"
2008,"High Wind",1439.96230116649,"d2"
2008,"Winter Storm",1530.18212478921,"d2"
2008,"Tornado",1663.582,"d3"
2008,"Flood",2767.87520593081,"d3"
2008,"Wildfire",3691.3921875,"d4"
2008,"Tropical Storm",3978.0462962963,"d4"
2008,"Storm Surge/Tide",35600.8703703704,"d5"
2008,"Hurricane (Typhoon)",57104.375,"d5"
2009,"Tropical Depression",2.44117647058824,"d2"
2009,"Strong Wind",8.32758913412564,"d1"
2009,"Winter Weather",54.1006711409396,"d1"
2009,"Heavy Rain",77.1470588235294,"d2"
2009,"Lake-Effect Snow",78.9333333333333,"d2"
2009,"Lightning",91.6136363636364,"d1"
2009,"Heavy Snow",166.624223602484,"d2"
2009,"High Wind",265.148730606488,"d2"
2009,"Flash Flood",265.233021201413,"d3"
2009,"Blizzard",404.302013422819,"d2"
2009,"Thunderstorm Wind",474.328421812929,"d2"
2009,"Flood",739.572524271845,"d3"
2009,"Tornado",823.290042372881,"d3"
2009,"Winter Storm",893.3,"d2"
2009,"Wildfire",1285.34022988506,"d4"
2009,"Hail",2374.23372434018,"d3"
2009,"Coastal Flood",3774.38356164384,"d4"
2009,"Ice Storm",9922.55677966102,"d3"
2010,"Strong Wind",22.322987012987,"d1"
2010,"Winter Weather",32.4852348993289,"d1"
2010,"Thunderstorm Wind",39.0046515741068,"d2"
2010,"Heavy Rain",41.7265625,"d2"
2010,"Lightning",54.0555555555556,"d1"
2010,"High Wind",67.4192176870748,"d2"
2010,"Lake-Effect Snow",140.297619047619,"d2"
2010,"Cold/Wind Chill",222.447368421053,"d1"
2010,"Coastal Flood",276.5,"d4"
2010,"Ice Storm",288.716504854369,"d3"
2010,"Winter Storm",351.749244712991,"d2"
2010,"Flash Flood",529.34739432542,"d3"
2010,"Heavy Snow",538.605925925926,"d2"
2010,"Blizzard",1053.56198347107,"d2"
2010,"Flood",1574.57172545281,"d3"
2010,"Tornado",1657.45442225392,"d3"
2010,"Wildfire",3434.36154929577,"d4"
2010,"Hail",5154.57373702422,"d3"
2011,"Winter Weather",28.1298850574713,"d1"
2011,"Lake-Effect Snow",47.0689655172414,"d2"
2011,"Strong Wind",58.7706932773109,"d1"
2011,"Thunderstorm Wind",75.2192058750311,"d2"
2011,"Lightning",76.8018867924528,"d1"
2011,"Excessive Heat",109.590588235294,"d2"
2011,"Winter Storm",170.86204620462,"d2"
2011,"Heavy Rain",187.933333333333,"d2"
2011,"Ice Storm",206.170454545455,"d3"
2011,"Heavy Snow",273.637984496124,"d2"
2011,"High Wind",362.05471349353,"d2"
2011,"Hail",511.064651639344,"d3"
2011,"Blizzard",528.733333333333,"d2"
2011,"Landslide",851.76,"d2"
2011,"Coastal Flood",1048.84615384615,"d4"
2011,"Flash Flood",1176.49482470785,"d3"
2011,"Tropical Storm",2156.68899082569,"d4"
2011,"Wildfire",2430.43714285714,"d4"
